employee_id;product_id
93;80023
72;23445
39;49638
20;74686
69;70099
60;52917
84;50041
67;11320
120;95066
78;38474
75;48040
51;42844
59;53595
40;73596
64;14437
95;45566
62;96612
50;22448
81;19582
27;87215
122;36590
53;88635
83;81968
63;33608
90;80327
58;40918
41;82988
121;79312
88;48687
70;26725
47;39657
52;61921
28;47434
80;70252
104;10766
100;72540
89;93006
116;16543
98;82464
114;71235
102;94756
113;65175
25;77903
108;25728
44;28388
79;40715
115;66571
86;88374
61;54272
56;11683
94;76085
82;70998
87;79762
66;15309
22;26716
101;69353
43;91225
48;62091
57;35652
37;97807
68;42829
42;39975
96;89244
29;40066
97;84330
55;57884
34;60170
110;12984
119;36479
24;49880
31;97156
76;57810
74;70892
38;24570
123;47860
91;77249
36;64727
49;95055
77;56077
33;20148
21;14517
54;66358
103;65437
32;31808
99;25101
106;14328
109;45976
111;82792
117;54396
107;38229
23;46620
71;84038
85;99423
26;43983
46;25966
45;68635
112;15424
35;32630
105;30256
30;66086
92;80023
118;23445
73;74686
61;70099
69;52917
40;50041
62;11320
50;95066
90;38474
31;48040
56;42844
95;53595
105;73596
122;14437
43;45566
52;96612
78;22448
41;19582
47;87215
66;36590
89;88635
46;81968
93;33608
98;80327
110;40918
113;82988
114;79312
29;48687
74;26725
55;39657
33;61921
106;47434
30;70252
22;10766
28;72540
101;93006
67;16543
45;82464
51;71235
86;94756
23;65175
108;77903
97;25728
34;28388
92;40715
100;66571
94;88374
104;54272
64;11683
68;76085
112;70998
81;79762
87;15309
39;26716
77;69353
117;91225
63;62091
36;35652
25;97807
109;42829
120;39975
99;89244
58;40066
102;84330
38;57884
123;60170
26;12984
75;36479
71;49880
79;97156
59;57810
44;70892
91;24570
83;47860
27;77249
85;64727
115;95055
32;56077
84;20148
119;14517
103;66358
35;65437
24;31808
53;25101
116;14328
57;45976
82;82792
49;54396
21;38229
80;46620
20;84038
70;99423
60;43983
48;25966
73;68635
42;15424
121;32630
111;30256
76;66086
107;80023
96;23445
65;49638
88;74686
72;70099
37;52917
54;50041
118;11320
30;95066
22;38474
83;48040
52;42844
99;53595
81;73596
50;14437
38;45566
47;96612
56;22448
115;19582
44;87215
123;36590
37;88635
71;81968
70;33608
89;80327
97;40918
36;82988
49;79312
48;48687
51;26725
59;39657
107;61921
80;47434
75;70252
39;10766
73;72540
29;93006
28;16543
109;82464
32;71235
23;94756
86;65175
61;77903
34;25728
92;28388
63;40715
114;66571
20;88374
90;54272
120;11683
40;76085
93;70998
43;79762
41;15309
66;26716
45;69353
31;91225
102;62091
74;35652
108;97807
100;42829
33;39975
119;89244
57;40066
76;84330
116;57884
68;60170
106;12984
21;36479
25;49880
62;97156
69;57810
54;70892
60;24570
105;47860
85;77249
84;64727
42;95055
53;56077
117;20148
98;14517
121;66358
113;65437
111;31808
46;25101
88;14328
72;45976
101;82792
104;54396
58;38229
82;46620
122;84038
26;99423
110;43983
87;25966
91;68635
94;15424
64;32630
103;30256
78;66086
77;84038
79;99423
24;43983
35;25966
112;68635
27;15424
118;32630
55;30256
67;66086
96;54396
95;38229
65;46620
111;80327
76;40918
107;82988
96;79312
65;48687
88;26725
72;39657
37;61921
54;47434
118;70252
30;10766
22;72540
83;93006
52;16543
99;82464
81;71235
50;94756
38;65175
47;77903
56;25728
115;28388
44;40715
123;66571
37;88374
71;54272
70;11683
89;76085
97;70998
36;79762
49;15309
48;26716
51;69353
59;91225
107;62091
80;35652
75;97807
39;42829
73;39975
29;89244
28;40066
109;84330
32;57884
23;60170
86;48040
61;42844
34;53595
92;73596
63;14437
114;45566
20;96612
90;22448
120;19582
40;87215
93;36590
43;88635
41;81968
66;33608
45;80327
31;40918
102;82988
74;79312
108;48687
100;26725
33;39657
119;61921
57;47434
76;70252
116;10766
68;72540
106;93006
21;16543
25;82464
62;71235
69;94756
54;65175
60;77903
105;25728
120;28388
78;91225
75;62091
51;35652
59;97807
40;42829
64;39975
95;89244
62;40066
50;84330
81;57884
27;60170
122;12984
53;36479
83;49880
63;97156
90;57810
58;70892
41;24570
121;47860
88;77249
70;64727
47;95055
52;56077
28;20148
91;14517
83;66358
27;65437
85;31808
115;25101
32;14328
84;45976
119;82792
